symbol,ensembl_ID,User_ID,baseMean,CTLIO-TIO_log2FC,CTLIO-TIO_adjPval,Processed data:,search_label,cio1LHL10698_L4,cio2LHL10702_L4,cio3LHL10704_L4,tio1LHL10699_L4,tio2LHL10703_L4,tio3LHL10705_L4,c-io-1-LHL10698_L4,c-io-2-LHL10702_L4,c-io-3-LHL10704_L4,t-io-1-LHL10699_L4,t-io-2-LHL10703_L4,t-io-3-LHL10705_L4
Myo6,ENSMUSG00000033577,ENSMUSG00000033577,1624.125702,-0.672006575,0.999848702,,Myo6 | ENSMUSG00000033577,7.15534252,10.89285086,10.75292683,12.17556648,9.915929456,8.669081496,103,1406,8287,3283,962,400
Ncor2,ENSMUSG00000029478,ENSMUSG00000029478,2555.21231,0.240464468,0.999848702,,Ncor2 | ENSMUSG00000029478,11.22136306,11.95303281,10.9386239,11.0979255,10.28545234,11.81388626,1772,2935,9428,1554,1244,3569
Hipk2,ENSMUSG00000061436,ENSMUSG00000061436,1777.186614,0.23684667,0.999848702,,Hipk2 | ENSMUSG00000061436,10.79952911,11.09417786,10.82326444,8.458386825,11.33208676,10.94906533,1322,1617,8702,247,2574,1958
Fnbp1,ENSMUSG00000075415,ENSMUSG00000075415,834.7232131,1.448309845,0.999848702,,Fnbp1 | ENSMUSG00000075415,10.81684633,7.963532839,10.66520619,2,10.39558427,2,1338,182,7797,0,1343,0
Tulp4,ENSMUSG00000034377,ENSMUSG00000034377,861.9564574,0.793719428,0.999848702,,Tulp4 | ENSMUSG00000034377,7.853824635,10.46992938,10.68135815,9.293905462,9.716012036,8.765764534,169,1048,7885,443,837,428
Cilk1,ENSMUSG00000009828,ENSMUSG00000009828,666.7938649,0.652757769,0.999848702,,Cilk1 | ENSMUSG00000009828,8.285598115,9.065296319,10.65241388,8.939945925,9.575589268,8.2916084,229,394,7728,346,759,307
Xist,ENSMUSG00000086503,ENSMUSG00000086503,2621.690975,-0.21370896,0.999848702,,Xist | ENSMUSG00000086503,11.02208118,11.67021778,10.93449481,11.95798412,10.73983078,11.43565358,1543,2412,9401,2823,1706,2745
Cyfip2,ENSMUSG00000020340,ENSMUSG00000020340,1943.65516,-0.394581613,0.999848702,,Cyfip2 | ENSMUSG00000020340,8.989922918,11.5072182,10.67183568,7.730405806,12.20797969,10.72433876,375,2154,7833,148,4727,1675
Slc44a1,ENSMUSG00000028412,ENSMUSG00000028412,1753.340845,0.599869869,0.999848702,,Slc44a1 | ENSMUSG00000028412,11.27481787,11.05536583,10.76847466,2,10.62484561,11.35025472,1839,1574,8377,0,1575,2587
Hsp90b1,ENSMUSG00000020048,ENSMUSG00000020048,1409.552965,-0.490591578,0.999848702,,Hsp90b1 | ENSMUSG00000020048,8.789609269,10.48630887,10.68954832,10.78450726,11.38321447,9.016517737,326,1060,7930,1250,2667,510
Fa2h,ENSMUSG00000033579,ENSMUSG00000033579,1228.203244,0.400998478,0.999848702,,Fa2h | ENSMUSG00000033579,10.96108524,9.22673082,10.65539033,7.967964918,9.333205324,11.1626099,1479,441,7744,175,641,2271
Mapk8ip1,ENSMUSG00000027223,ENSMUSG00000027223,828.4939004,1.448902797,0.991320794,,Mapk8ip1 | ENSMUSG00000027223,9.260587733,10.55262305,10.5839623,9.122297283,7.651100976,9.195778476,453,1110,7369,393,197,578
