Gene	c-io-1-LHL10698_L4	c-io-2-LHL10702_L4	c-io-3-LHL10704_L4	t-io-1-LHL10699_L4	t-io-2-LHL10703_L4	t-io-3-LHL10705_L4
ENSMUSG00000026260	102	58	925	2	0	0
ENSMUSG00000026269	0	114	290	0	0	0
ENSMUSG00000026270	97	0	218	0	0	0
ENSMUSG00000026273	0	0	168	523	0	119
ENSMUSG00000026275	22	64	651	8	0	0
ENSMUSG00000026276	161	552	5527	131	769	1375
ENSMUSG00000026277	0	441	225	0	0	0
ENSMUSG00000026280	0	0	0	0	0	0
ENSMUSG00000026288	0	2	39	0	25	0
ENSMUSG00000026289	122	3	0	0	95	0
ENSMUSG00000026305	0	53	183	0	0	0
ENSMUSG00000026311	0	91	194	0	0	0
ENSMUSG00000026313	0	305	1978	2	0	473
ENSMUSG00000026317	27	95	0	0	97	73
ENSMUSG00000026319	282	403	1228	285	139	418
ENSMUSG00000026321	5	0	0	0	0	0
ENSMUSG00000026333	0	0	139	0	11	0
ENSMUSG00000026335	0	10	751	273	0	0
ENSMUSG00000026339	0	0	989	0	0	0
ENSMUSG00000026341	286	256	1356	0	273	801
ENSMUSG00000026342	0	0	167	0	0	0
ENSMUSG00000026347	0	794	6155	0	0	1398
ENSMUSG00000026349	0	0	1071	0	774	1112
ENSMUSG00000026353	427	0	526	0	0	0
ENSMUSG00000026355	0	0	146	0	0	0
ENSMUSG00000026356	0	0	567	0	0	0
ENSMUSG00000026358	4	0	0	0	0	0
ENSMUSG00000026360	0	0	168	0	0	0
ENSMUSG00000026361	143	230	293	388	23	1324
ENSMUSG00000026365	0	0	739	832	0	0
ENSMUSG00000026374	0	46	225	0	0	16
ENSMUSG00000026383	0	637	0	0	0	0
ENSMUSG00000026384	0	0	0	0	943	0
ENSMUSG00000026385	17	8	1503	15	8	0
ENSMUSG00000026393	118	0	963	0	0	0
ENSMUSG00000026395	0	0	451	0	0	0
ENSMUSG00000026404	0	0	101	0	0	0
ENSMUSG00000026409	0	354	28	11	34	106
ENSMUSG00000026411	156	15	197	0	0	0
ENSMUSG00000026418	110	261	0	0	0	0
ENSMUSG00000026421	136	606	1414	0	0	0
ENSMUSG00000026424	222	235	3268	0	357	333
ENSMUSG00000026425	217	0	2360	1272	124	44
ENSMUSG00000026426	567	220	2549	0	377	503
ENSMUSG00000026427	0	0	931	0	0	0
ENSMUSG00000026429	0	0	7	0	0	0
ENSMUSG00000026430	0	0	410	0	0	0
ENSMUSG00000026434	0	161	1181	1016	0	100
ENSMUSG00000026435	118	0	180	0	0	0
ENSMUSG00000026436	0	0	211	0	0	0
ENSMUSG00000026437	524	70	2417	0	498	1147
ENSMUSG00000026439	0	0	382	0	0	0
ENSMUSG00000026442	4775	27745	96123	3318	24850	23197
ENSMUSG00000026443	0	20	0	0	0	0
ENSMUSG00000026455	0	2	220	0	0	4
ENSMUSG00000026457	830	0	2431	0	582	0
ENSMUSG00000026458	824	0	507	0	431	0
ENSMUSG00000026463	194	0	2	0	56	0
ENSMUSG00000026466	0	133	363	0	227	0
ENSMUSG00000026469	151	91	337	0	1	277
ENSMUSG00000026470	51	13	1774	1599	202	1
ENSMUSG00000026473	70	0	2791	588	1150	240
ENSMUSG00000026475	0	0	645	0	115	0
ENSMUSG00000026478	275	0	4263	548	467	449
ENSMUSG00000026479	0	1	631	0	0	0
ENSMUSG00000026480	0	0	5	0	0	0
ENSMUSG00000026482	0	0	16	0	0	73
ENSMUSG00000026483	0	0	555	0	0	0
ENSMUSG00000026484	50	0	0	0	0	0
ENSMUSG00000026489	0	0	86	0	0	0
ENSMUSG00000026490	1050	736	4340	270	131	632
ENSMUSG00000026491	0	0	1123	0	5	0
ENSMUSG00000026494	20	0	55	0	0	0
ENSMUSG00000026495	24	0	521	0	0	75
ENSMUSG00000026496	12	828	3939	1097	326	540
ENSMUSG00000026499	0	483	1770	0	0	355
ENSMUSG00000026500	0	0	0	0	0	239
ENSMUSG00000026502	0	0	0	0	206	0
ENSMUSG00000026504	0	106	43	0	637	0
ENSMUSG00000026509	447	282	771	701	722	211
ENSMUSG00000026510	375	379	1090	0	0	936
ENSMUSG00000026511	45	20	1175	322	0	0
ENSMUSG00000026514	0	0	129	0	0	0
ENSMUSG00000026516	415	140	1104	0	36	0
ENSMUSG00000026519	0	488	1880	0	0	0
ENSMUSG00000026520	77	0	259	0	0	0
ENSMUSG00000026525	0	0	98	0	0	0
ENSMUSG00000026526	0	0	429	0	0	0
ENSMUSG00000026527	1	0	30	0	108	0
ENSMUSG00000026553	159	939	1790	710	1228	917
ENSMUSG00000026554	258	35	794	0	110	486
ENSMUSG00000026558	111	0	456	0	0	0
ENSMUSG00000026563	0	0	0	0	343	0
ENSMUSG00000026565	0	59	0	0	0	0
ENSMUSG00000026566	8	357	4244	491	936	721
ENSMUSG00000026568	316	36	637	0	0	0
ENSMUSG00000026571	219	0	1092	0	101	0
ENSMUSG00000026576	0	0	1247	0	472	0
ENSMUSG00000026577	437	0	0	0	0	0
ENSMUSG00000026578	505	0	0	0	0	0
ENSMUSG00000026579	0	0	0	303	0	0
ENSMUSG00000026582	0	0	0	13	0	0
ENSMUSG00000026584	0	0	182	0	0	0
ENSMUSG00000026585	1309	0	608	0	0	0
ENSMUSG00000026587	2	239	69	0	230	75
ENSMUSG00000026594	7	254	0	0	12	0
ENSMUSG00000026596	0	5	61	0	353	0
ENSMUSG00000026600	0	0	69	0	467	0
ENSMUSG00000026604	74	190	42	16	0	0
ENSMUSG00000026605	0	0	298	0	0	946
ENSMUSG00000026608	1180	0	345	0	0	0
ENSMUSG00000026610	0	8	41	0	0	0
ENSMUSG00000026615	489	189	1153	289	843	11
ENSMUSG00000026618	0	151	427	0	149	0
ENSMUSG00000026623	196	0	2017	0	836	1662
ENSMUSG00000026626	0	0	196	0	0	286
ENSMUSG00000026627	0	0	177	0	0	316
ENSMUSG00000026632	0	0	0	0	145	0
ENSMUSG00000026637	0	0	35	0	0	0
ENSMUSG00000026640	0	89	774	0	2	0
ENSMUSG00000026641	0	23	0	0	0	0
ENSMUSG00000026643	0	0	210	0	111	111
ENSMUSG00000026648	0	112	278	0	0	0
ENSMUSG00000026655	105	1290	2864	647	165	159
ENSMUSG00000026656	0	0	445	0	0	0
ENSMUSG00000026657	421	1093	10090	715	4933	4727
ENSMUSG00000026662	0	275	0	0	0	0
ENSMUSG00000026663	0	26	1482	2	0	59
ENSMUSG00000026664	155	0	0	0	0	0
ENSMUSG00000026667	104	274	2349	0	459	0
ENSMUSG00000026670	0	0	25	0	139	422
ENSMUSG00000026672	71	0	1476	0	0	0
ENSMUSG00000026675	0	382	726	0	0	0
ENSMUSG00000026676	0	0	0	0	0	0
ENSMUSG00000026678	1072	0	0	0	132	0
ENSMUSG00000026679	0	0	50	0	0	0
ENSMUSG00000026683	169	0	43	0	0	0
ENSMUSG00000026687	0	0	366	0	1082	0
ENSMUSG00000026696	0	26	467	135	0	0
ENSMUSG00000026698	0	0	232	727	0	25
ENSMUSG00000026701	0	295	689	1194	1219	0
ENSMUSG00000026705	0	0	1030	0	0	0
ENSMUSG00000026707	0	0	0	0	1	22
ENSMUSG00000026709	85	0	204	0	0	52
ENSMUSG00000026712	535	0	342	0	63	0
ENSMUSG00000026718	0	640	218	0	357	0
ENSMUSG00000026721	1733	63	535	0	672	0
ENSMUSG00000026727	200	6	131	0	0	0
ENSMUSG00000026728	258	196	3184	249	3	0
ENSMUSG00000026737	0	0	2597	0	260	0
ENSMUSG00000026739	0	0	1846	0	316	0
ENSMUSG00000026740	0	32	355	0	117	0
ENSMUSG00000026743	47	0	288	401	162	483
ENSMUSG00000026748	365	6	1065	0	0	123
ENSMUSG00000026749	173	4	1231	0	0	0
ENSMUSG00000026750	128	175	1045	0	183	0
ENSMUSG00000026753	0	0	0	0	0	0
ENSMUSG00000026754	0	122	852	0	256	0
ENSMUSG00000026755	0	0	513	0	0	0
ENSMUSG00000026761	0	0	0	0	0	475
ENSMUSG00000026764	0	209	1926	29	482	5
ENSMUSG00000026766	0	0	492	0	380	0
ENSMUSG00000026767	139	0	204	0	18	0
ENSMUSG00000026771	0	0	865	3	0	0
ENSMUSG00000026775	0	220	0	0	0	357
ENSMUSG00000026778	14	188	1105	379	523	702
ENSMUSG00000026781	6	21	1375	0	88	80
ENSMUSG00000026782	182	47	1167	52	0	0
ENSMUSG00000026784	0	9	149	0	0	88
ENSMUSG00000026786	0	0	988	0	0	33
ENSMUSG00000026787	0	0	0	0	256	0
ENSMUSG00000026790	0	111	1390	0	0	0
ENSMUSG00000026792	0	0	7	0	0	0
ENSMUSG00000026796	170	0	225	0	0	0
ENSMUSG00000026797	379	103	641	0	912	0
ENSMUSG00000026798	0	0	0	0	0	0
ENSMUSG00000026799	0	162	549	0	0	0
ENSMUSG00000026803	0	57	0	0	0	0
ENSMUSG00000026810	0	34	0	0	0	0
ENSMUSG00000026811	0	0	235	0	0	0
ENSMUSG00000026812	0	0	720	0	0	0
ENSMUSG00000026814	43	0	561	923	0	356
ENSMUSG00000026816	0	31	536	0	0	0
ENSMUSG00000026817	0	77	485	0	0	0
ENSMUSG00000026819	0	0	0	0	0	26
ENSMUSG00000026820	248	0	362	0	0	0
ENSMUSG00000026821	1136	1378	2515	0	184	185
ENSMUSG00000026825	0	865	2091	0	0	798
ENSMUSG00000026827	0	779	1408	0	300	527
ENSMUSG00000026828	0	0	281	0	0	0
ENSMUSG00000026830	4366	278	5615	1183	677	536
ENSMUSG00000026833	0	0	1053	0	540	55
ENSMUSG00000026836	243	0	0	279	0	0
ENSMUSG00000026839	0	0	392	0	0	0
ENSMUSG00000026842	663	234	4210	1	321	3
ENSMUSG00000026843	265	154	1042	0	32	0
ENSMUSG00000026848	82	0	0	0	0	0
ENSMUSG00000026849	0	0	661	0	0	0
ENSMUSG00000026851	0	0	41	673	10	536
ENSMUSG00000026853	0	0	142	0	0	0
ENSMUSG00000026854	76	18	346	0	0	101
ENSMUSG00000026856	0	151	203	0	0	0
ENSMUSG00000026857	147	0	0	0	0	0
ENSMUSG00000026858	46	435	18	0	0	526
ENSMUSG00000026860	153	44	1193	0	0	237
ENSMUSG00000026864	291	1639	4180	1389	754	1874
ENSMUSG00000026867	44	191	1030	0	612	321
ENSMUSG00000026869	0	66	0	0	0	0
ENSMUSG00000026872	2617	2915	10386	1303	2106	2531
ENSMUSG00000026878	323	188	1508	0	655	241
ENSMUSG00000026879	6079	1479	34811	5288	6640	4628
ENSMUSG00000026880	0	0	195	0	0	0
ENSMUSG00000026883	0	0	568	0	0	0
ENSMUSG00000026887	0	0	120	0	0	0
ENSMUSG00000026888	847	336	968	0	0	237
ENSMUSG00000026889	0	0	319	1072	0	0
ENSMUSG00000026893	0	0	205	0	328	0
ENSMUSG00000026895	125	190	0	0	0	0
ENSMUSG00000026914	0	294	224	0	976	0
ENSMUSG00000026915	0	236	0	248	328	36
ENSMUSG00000026917	0	0	0	0	0	0
ENSMUSG00000026918	249	203	1132	0	7	65
ENSMUSG00000026921	0	0	0	348	114	1
ENSMUSG00000026922	0	0	0	0	3	91
ENSMUSG00000026923	536	680	1739	620	311	11
ENSMUSG00000026924	76	0	779	514	31	279
ENSMUSG00000026925	0	0	166	0	0	128
ENSMUSG00000026926	0	0	247	0	6	0
ENSMUSG00000026927	0	90	389	0	262	0
ENSMUSG00000026930	0	120	133	448	0	374
ENSMUSG00000026932	715	0	422	0	0	814
ENSMUSG00000026933	383	63	733	0	1135	0
ENSMUSG00000026939	0	167	208	0	0	0
ENSMUSG00000026942	0	133	0	0	0	0
ENSMUSG00000026944	1782	1855	12175	2984	2155	1690
ENSMUSG00000026958	0	0	0	0	240	0
ENSMUSG00000026959	0	229	423	0	0	0
ENSMUSG00000026961	0	0	0	0	0	0
ENSMUSG00000026965	0	0	284	0	0	0
ENSMUSG00000026966	0	22	22	0	0	0
ENSMUSG00000026972	0	0	150	0	0	0
ENSMUSG00000026974	358	114	438	0	0	0
ENSMUSG00000026975	0	0	0	0	64	0
ENSMUSG00000026977	0	231	708	0	325	0
ENSMUSG00000026979	0	0	726	0	0	0
ENSMUSG00000026980	142	0	0	0	0	0
ENSMUSG00000026987	979	342	2327	67	860	695
ENSMUSG00000026988	0	64	249	0	0	0
ENSMUSG00000026991	0	954	1438	604	697	2263
ENSMUSG00000026994	0	0	185	0	0	0
ENSMUSG00000027001	56	0	0	0	0	0
ENSMUSG00000027002	399	672	2513	142	921	781
ENSMUSG00000027006	95	0	1661	0	0	352
ENSMUSG00000027007	0	94	0	0	0	0
ENSMUSG00000027009	247	0	0	0	0	0
ENSMUSG00000027010	148	0	0	0	0	0
ENSMUSG00000027011	0	0	410	217	63	0
ENSMUSG00000027012	341	456	2709	0	1321	1833
ENSMUSG00000027014	0	0	856	720	145	0
ENSMUSG00000027015	0	0	0	0	522	0
ENSMUSG00000027018	47	0	0	93	0	0
ENSMUSG00000027022	0	10	0	0	0	0
ENSMUSG00000027030	0	601	2483	0	237	460
ENSMUSG00000027035	0	90	18	0	0	0
ENSMUSG00000027067	0	557	1349	546	0	552
ENSMUSG00000027080	0	0	289	0	0	0
ENSMUSG00000027087	318	23	404	1089	0	0
ENSMUSG00000027099	0	0	271	0	0	0
ENSMUSG00000027104	2	75	931	162	0	0
ENSMUSG00000027108	0	0	412	0	216	0
ENSMUSG00000027109	0	253	424	2	18	0
ENSMUSG00000027111	221	0	289	0	0	700
ENSMUSG00000027122	0	0	157	0	0	0
ENSMUSG00000027130	788	0	517	0	0	0
ENSMUSG00000027131	0	0	175	0	0	0
ENSMUSG00000027134	0	0	49	0	251	0
ENSMUSG00000027160	0	434	142	0	0	231
ENSMUSG00000027162	0	162	493	0	0	267
ENSMUSG00000027163	0	0	1204	0	0	332
ENSMUSG00000027164	0	0	179	0	0	0
ENSMUSG00000027165	7	4	0	0	2	0
ENSMUSG00000027166	0	157	0	0	0	0
ENSMUSG00000027167	0	0	0	0	0	275
ENSMUSG00000027175	1827	0	110	0	618	0
ENSMUSG00000027176	0	0	111	0	0	0
ENSMUSG00000027177	365	243	436	21	2	0
ENSMUSG00000027180	0	79	626	24	283	0
ENSMUSG00000027184	322	1031	7206	411	2191	994
ENSMUSG00000027185	0	74	65	207	80	0
ENSMUSG00000027187	671	259	3886	803	1143	0
ENSMUSG00000027189	14	144	1034	0	0	179
ENSMUSG00000027193	0	0	528	0	0	0
ENSMUSG00000027194	100	433	0	0	0	0
ENSMUSG00000027195	306	288	1574	0	69	678
ENSMUSG00000027198	594	26	200	0	0	0
ENSMUSG00000027199	581	568	2829	568	1245	749
ENSMUSG00000027200	27	529	3108	2574	413	516
ENSMUSG00000027201	82	70	783	57	174	201
ENSMUSG00000027203	0	0	0	15	0	0
ENSMUSG00000027204	0	0	0	524	0	0
ENSMUSG00000027206	0	64	712	40	0	0
ENSMUSG00000027207	0	0	162	0	0	0
ENSMUSG00000027210	0	0	960	0	0	0
ENSMUSG00000027215	0	0	637	140	0	400
ENSMUSG00000027217	0	0	0	0	382	0
ENSMUSG00000027222	0	0	294	44	250	0
ENSMUSG00000027223	453	1110	7369	393	197	578
ENSMUSG00000027236	8	240	217	0	39	0
ENSMUSG00000027238	0	0	283	0	1003	131
ENSMUSG00000027242	0	0	325	554	0	0
ENSMUSG00000027243	0	192	0	0	0	0
ENSMUSG00000027244	0	221	48	0	0	0
ENSMUSG00000027245	0	28	177	0	185	0
ENSMUSG00000027247	314	0	0	0	0	0
ENSMUSG00000027248	0	584	4839	1450	2247	1250
ENSMUSG00000027249	0	0	0	0	240	0
ENSMUSG00000027253	0	0	708	0	187	0
ENSMUSG00000027254	4618	4281	26805	32	7080	5238
ENSMUSG00000027255	0	144	91	0	0	0
ENSMUSG00000027257	0	0	119	0	0	0
ENSMUSG00000027259	0	173	0	0	0	0
ENSMUSG00000027272	0	196	1535	314	573	32
ENSMUSG00000027273	0	5	1190	0	3	0
ENSMUSG00000027274	0	0	456	0	0	0
ENSMUSG00000027282	0	0	153	652	0	208
ENSMUSG00000027284	0	0	1833	0	0	0
ENSMUSG00000027286	0	228	0	0	0	0
ENSMUSG00000027287	0	184	933	0	0	33
ENSMUSG00000027288	319	272	1108	0	733	0
ENSMUSG00000027291	0	121	1979	0	0	0
ENSMUSG00000027293	0	0	319	0	0	0
ENSMUSG00000027298	628	716	4311	0	0	450
ENSMUSG00000027300	0	0	239	0	0	0
ENSMUSG00000027303	923	90	1629	0	1152	70
ENSMUSG00000027304	0	0	193	0	0	619
ENSMUSG00000027306	45	0	0	0	0	0
ENSMUSG00000027309	1770	1231	6764	369	1160	326
ENSMUSG00000027312	252	448	4776	938	1533	415
ENSMUSG00000027324	0	0	851	0	0	0
ENSMUSG00000027326	0	0	109	0	0	0
ENSMUSG00000027327	0	25	0	0	0	0
ENSMUSG00000027332	418	270	373	0	0	16
ENSMUSG00000027333	0	0	738	0	60	0
ENSMUSG00000027339	303	0	597	0	562	0
ENSMUSG00000027340	247	0	0	0	233	0
ENSMUSG00000027341	0	0	240	0	0	0
ENSMUSG00000027342	0	0	109	5	0	0
ENSMUSG00000027346	462	0	1000	700	128	0
ENSMUSG00000027349	0	0	269	0	0	0
ENSMUSG00000027350	70	0	0	0	0	0
ENSMUSG00000027351	109	0	2483	490	166	433
ENSMUSG00000027357	118	0	0	0	0	0
ENSMUSG00000027358	0	0	195	0	0	0
ENSMUSG00000027360	0	0	43	0	0	0
ENSMUSG00000027361	0	5	522	0	0	0
ENSMUSG00000027363	664	577	2084	0	0	0
ENSMUSG00000027364	0	0	152	0	0	0
ENSMUSG00000027365	65	931	518	0	0	0
ENSMUSG00000027366	2	181	78	0	0	54
ENSMUSG00000027367	33	278	0	0	0	0
ENSMUSG00000027374	0	64	868	0	0	101
ENSMUSG00000027375	7735	174	29566	4610	1805	6204
ENSMUSG00000027378	359	0	0	0	0	0
ENSMUSG00000027379	23	0	0	0	0	0
ENSMUSG00000027381	0	0	1009	224	0	0
ENSMUSG00000027384	68	0	328	0	0	0
ENSMUSG00000027395	5	163	0	151	0	51
ENSMUSG00000027397	168	32	405	37	0	0
ENSMUSG00000027404	478	0	71	0	147	0
ENSMUSG00000027405	221	89	432	65	271	0
ENSMUSG00000027406	0	0	182	0	0	0
ENSMUSG00000027408	0	49	0	0	0	0
ENSMUSG00000027411	0	0	72	0	0	0
ENSMUSG00000027419	0	0	252	0	0	0
ENSMUSG00000027420	0	0	89	0	0	0
ENSMUSG00000027422	154	492	6644	586	243	0
ENSMUSG00000027423	429	145	1449	0	158	420
ENSMUSG00000027424	0	0	204	0	0	0
ENSMUSG00000027425	0	114	558	0	0	0
ENSMUSG00000027427	302	0	431	0	306	0
ENSMUSG00000027428	236	0	585	0	141	0
ENSMUSG00000027429	0	0	0	0	136	0
ENSMUSG00000027430	0	0	393	0	0	0
ENSMUSG00000027433	0	230	0	0	244	1107
ENSMUSG00000027434	348	337	1439	0	0	402
ENSMUSG00000027435	0	0	0	1451	0	0
ENSMUSG00000027438	0	0	0	0	0	485
ENSMUSG00000027439	0	0	817	0	0	0
ENSMUSG00000027447	218	20	1403	1163	0	571
ENSMUSG00000027452	284	0	192	0	0	81
ENSMUSG00000027455	0	85	711	0	0	0
ENSMUSG00000027457	0	0	186	0	0	0
ENSMUSG00000027463	170	0	0	0	0	0
ENSMUSG00000027465	0	0	0	0	0	267
ENSMUSG00000027466	17	161	2302	0	0	0
ENSMUSG00000027469	0	0	0	0	6	0
ENSMUSG00000027472	0	0	205	0	0	0
ENSMUSG00000027475	90	132	840	0	224	0
ENSMUSG00000027479	500	677	3586	0	0	288
ENSMUSG00000027480	0	0	4	0	0	0
ENSMUSG00000027487	164	0	0	0	0	0
ENSMUSG00000027498	0	0	901	287	0	366
ENSMUSG00000027499	0	0	710	0	716	0
ENSMUSG00000027500	0	0	242	0	0	0
ENSMUSG00000027502	0	0	1006	0	0	0
ENSMUSG00000027506	349	0	2873	0	668	0
ENSMUSG00000027509	0	0	351	0	0	0
ENSMUSG00000027519	0	0	347	336	0	0
ENSMUSG00000027520	0	0	0	0	0	134
ENSMUSG00000027522	0	184	0	0	0	102
ENSMUSG00000027523	565	913	5045	2950	1345	603
ENSMUSG00000027525	746	332	980	0	417	733
ENSMUSG00000027531	0	0	103	0	0	485
ENSMUSG00000027533	171	277	4270	359	189	0
ENSMUSG00000027540	678	48	0	0	0	0
ENSMUSG00000027546	796	1128	3183	70	475	1412
ENSMUSG00000027550	0	0	468	119	0	0
ENSMUSG00000027551	0	97	0	0	0	0
ENSMUSG00000027562	971	0	2769	62	23	456
ENSMUSG00000027566	0	110	1092	0	0	0
ENSMUSG00000027569	0	0	339	45	0	0
ENSMUSG00000027570	109	1239	3228	0	2619	1088
ENSMUSG00000027573	0	0	317	2	20	0
ENSMUSG00000027575	0	58	955	0	0	133
ENSMUSG00000027577	25	0	0	0	0	0
ENSMUSG00000027581	0	0	866	0	0	94
ENSMUSG00000027582	206	0	1306	460	870	0
ENSMUSG00000027583	0	0	212	0	0	0
ENSMUSG00000027589	109	0	0	41	0	0
ENSMUSG00000027593	0	0	118	49	337	0
ENSMUSG00000027598	254	0	1719	0	0	0
ENSMUSG00000027599	0	89	827	0	890	1596
ENSMUSG00000027602	457	0	67	0	0	365
ENSMUSG00000027603	0	60	424	0	0	0
ENSMUSG00000027605	324	227	778	2	270	511
ENSMUSG00000027610	0	470	0	0	0	0
ENSMUSG00000027612	0	0	0	0	0	0
ENSMUSG00000027613	0	0	71	0	243	0
ENSMUSG00000027615	0	0	558	635	2	0
ENSMUSG00000027618	0	0	51	0	0	147
ENSMUSG00000027620	177	214	4920	2246	842	754
ENSMUSG00000027624	517	454	2092	0	1254	0
ENSMUSG00000027630	0	0	881	0	120	0
ENSMUSG00000027634	0	0	835	0	0	0
ENSMUSG00000027637	191	15	422	0	0	120
ENSMUSG00000027639	0	101	0	108	0	0
ENSMUSG00000027641	0	0	339	0	0	0
ENSMUSG00000027642	161	488	2540	0	569	1167
ENSMUSG00000027650	0	29	232	0	0	0
ENSMUSG00000027651	0	63	0	0	517	312
ENSMUSG00000027652	74	796	2184	0	11	204
ENSMUSG00000027655	0	284	0	0	919	0
ENSMUSG00000027660	0	35	1415	0	29	0
ENSMUSG00000027663	429	0	924	0	0	0
ENSMUSG00000027665	0	51	448	189	169	0
ENSMUSG00000027667	0	0	114	0	0	0
ENSMUSG00000027668	64	0	1020	0	780	0
ENSMUSG00000027669	20	205	2270	0	0	0
ENSMUSG00000027671	0	124	189	0	0	4
ENSMUSG00000027673	3	0	103	318	196	2
ENSMUSG00000027674	273	655	2482	0	0	0
ENSMUSG00000027676	0	0	876	0	194	0
ENSMUSG00000027677	9	225	1835	133	669	911
ENSMUSG00000027678	0	0	912	0	1029	0
ENSMUSG00000027679	0	0	40	0	0	0
ENSMUSG00000027680	0	214	2596	0	140	126
ENSMUSG00000027684	119	0	0	0	0	0
ENSMUSG00000027692	335	813	4141	181	240	546
ENSMUSG00000027695	200	47	575	0	522	2449
ENSMUSG00000027698	0	0	179	0	605	0
ENSMUSG00000027699	0	0	454	0	0	0
ENSMUSG00000027706	368	90	2876	967	200	1273
ENSMUSG00000027708	488	0	195	0	141	0
ENSMUSG00000027709	0	103	854	0	0	0
ENSMUSG00000027710	0	3	208	0	0	0
ENSMUSG00000027712	181	0	1511	0	0	0
ENSMUSG00000027714	693	0	1245	0	350	0
ENSMUSG00000027715	0	0	545	0	7	0
ENSMUSG00000027722	0	0	99	0	0	0
ENSMUSG00000027737	0	0	6	113	39	0
ENSMUSG00000027739	0	0	861	0	0	0
ENSMUSG00000027742	579	0	922	0	0	0
ENSMUSG00000027746	0	0	411	0	139	0
ENSMUSG00000027751	20	0	0	210	119	0
ENSMUSG00000027752	0	0	0	0	14	0
ENSMUSG00000027763	758	51	2305	82	41	844
ENSMUSG00000027765	0	16	0	0	0	0
ENSMUSG00000027770	0	0	733	0	107	178
ENSMUSG00000027774	0	0	733	0	181	0
ENSMUSG00000027775	0	0	1362	0	0	0
ENSMUSG00000027777	371	96	568	0	0	634
ENSMUSG00000027778	0	166	5	1570	139	630
ENSMUSG00000027782	0	488	902	0	0	0
ENSMUSG00000027784	0	80	887	0	0	749
ENSMUSG00000027797	2	0	263	0	19	0
ENSMUSG00000027799	1574	26	924	4	877	684
ENSMUSG00000027800	533	0	0	0	0	0
ENSMUSG00000027803	0	0	0	892	0	0
ENSMUSG00000027804	0	0	753	0	0	0
ENSMUSG00000027805	70	568	1229	0	688	163
ENSMUSG00000027806	56	26	1229	0	0	88
ENSMUSG00000027808	609	47	0	0	226	0
ENSMUSG00000027809	0	0	494	23	0	3
ENSMUSG00000027810	0	247	2482	0	176	10
ENSMUSG00000027820	0	0	132	0	0	0
ENSMUSG00000027822	0	0	464	0	0	0
ENSMUSG00000027823	0	82	105	0	0	344
ENSMUSG00000027828	449	857	3876	517	1372	1602
ENSMUSG00000027829	770	298	466	0	0	0
ENSMUSG00000027831	0	0	91	0	0	0
ENSMUSG00000027834	0	0	12	0	0	733
ENSMUSG00000027835	0	0	0	0	209	0
ENSMUSG00000027840	0	0	0	0	0	0
ENSMUSG00000027843	0	0	0	0	0	0
ENSMUSG00000027845	87	0	0	0	0	0
ENSMUSG00000027848	0	0	0	319	0	0
ENSMUSG00000027849	0	26	0	0	0	0
ENSMUSG00000027852	0	159	1689	0	0	0
ENSMUSG00000027854	117	146	1484	66	16	4
ENSMUSG00000027857	0	50	39	0	8	0
ENSMUSG00000027858	3217	2389	21754	1692	4760	3793
ENSMUSG00000027864	0	13	0	236	0	0
ENSMUSG00000027875	135	0	145	256	0	264
ENSMUSG00000027878	190	0	936	1415	165	0
ENSMUSG00000027879	38	43	291	0	0	0
ENSMUSG00000027881	584	123	691	0	64	0
ENSMUSG00000027882	123	0	662	0	0	1110
ENSMUSG00000027883	0	137	162	0	0	373
ENSMUSG00000027884	0	2	120	284	0	0
ENSMUSG00000027889	0	320	0	0	0	0
ENSMUSG00000027893	397	277	3024	410	0	24
ENSMUSG00000027895	0	0	667	0	0	0
ENSMUSG00000027900	598	75	813	0	263	0
ENSMUSG00000027905	130	0	0	0	0	0
ENSMUSG00000027933	0	0	229	219	0	0
ENSMUSG00000027937	0	0	0	0	271	0
ENSMUSG00000027939	0	43	88	0	0	0
ENSMUSG00000027940	180	131	2476	0	170	432
ENSMUSG00000027942	0	0	260	0	21	60
ENSMUSG00000027944	68	0	0	0	0	0
ENSMUSG00000027950	0	0	711	0	0	0
ENSMUSG00000027951	0	0	0	0	157	541
ENSMUSG00000027952	519	0	550	0	221	0
ENSMUSG00000027956	0	0	76	0	0	0
ENSMUSG00000027957	0	84	0	0	0	0
ENSMUSG00000027963	0	0	495	0	0	0
ENSMUSG00000027966	0	0	597	51	269	142
ENSMUSG00000027968	0	0	0	0	0	146
ENSMUSG00000027971	0	0	394	0	0	0
ENSMUSG00000027977	39	17	0	0	0	109
ENSMUSG00000027978	0	7	0	0	0	0
ENSMUSG00000027981	216	0	337	0	0	0
ENSMUSG00000027984	0	0	196	0	0	781
ENSMUSG00000027993	548	410	2724	140	617	803
ENSMUSG00000027996	0	0	218	0	0	0
ENSMUSG00000027997	0	1	0	0	0	0
ENSMUSG00000027998	0	0	245	0	0	0
ENSMUSG00000027999	0	0	0	0	13	0
ENSMUSG00000028005	0	0	148	0	0	0
ENSMUSG00000028007	0	195	1273	0	192	0
ENSMUSG00000028013	8	0	264	7	65	0
ENSMUSG00000028015	40	22	232	0	0	0
ENSMUSG00000028017	0	0	0	0	0	230
ENSMUSG00000028020	145	33	1927	11	159	0
ENSMUSG00000028028	1	0	0	0	0	0
ENSMUSG00000028029	0	66	1130	0	0	0
ENSMUSG00000028030	210	127	672	0	0	0
ENSMUSG00000028032	1145	140	3220	0	0	790
