"Gene","ctl1","ctl2","ctl3","ctl4","ctl5","ctl6","ctl7","dta1","dta2","dta3","dta4","dta5","dta6","dta7","dta8","dta9","dta10","dta11","dta12","dta13","dta14","dta15","dta16","dta17","dta18","dta19","dta20","dta21","dta22","dta23","dta24","dta25","dta26","dta27","dta28","dta29","dta30","dta31","dta32","dta33","dta34","dta35","dta36","dta37","dta38","dta39","dta40","dta41","dta42","dta43","dta44","dta45","dta46"
"ENSMUSG00000020331","5","10","6","32","1","0","35","7","16","10","15","2","6","6","4","16","3","14","16","4","3","3","3","2","0","3","2","1","12","14","14","5","1","16","12","13","18","14","21","4","9","0","7","20","19","6","40","42","0","1","0","2","2"
"ENSMUSG00000020332","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000020333","2","17","2","83","7","0","55","16","34","18","26","3","24","10","3","39","3","21","30","14","8","2","5","5","2","15","6","5","19","27","49","1","4","28","24","17","46","36","46","18","20","6","23","28","49","31","68","98","3","2","3","3","10"
"ENSMUSG00000020334","0","0","0","1","1","0","20","0","0","2","1","0","1","1","0","2","0","0","0","0","0","3","1","0","1","0","3","2","1","1","5","0","0","0","0","1","1","0","0","0","1","0","1","0","2","0","0","9","0","0","0","0","0"
"ENSMUSG00000020335","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","2","0","0","0","0","0"
"ENSMUSG00000020340","2","8","0","51","3","2","69","8","34","8","17","5","16","5","2","27","2","16","15","3","4","8","2","0","2","5","5","4","18","21","29","3","1","17","14","24","34","38","29","3","13","0","17","17","24","9","38","68","3","1","5","2","4"
"ENSMUSG00000020346","1","4","1","13","1","0","14","3","4","5","4","0","10","2","1","6","0","6","5","0","1","0","0","0","0","0","1","2","6","5","14","1","0","2","2","11","8","9","9","0","5","0","4","5","10","2","13","15","1","0","2","0","3"
"ENSMUSG00000020349","3","20","5","109","3","3","85","28","75","26","46","5","63","9","3","88","5","37","51","11","8","5","2","4","4","12","16","5","45","47","95","3","4","41","29","57","65","67","76","9","26","7","40","61","76","32","92","140","11","7","4","4","12"
"ENSMUSG00000020354","0","0","0","0","0","0","5","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0"
"ENSMUSG00000020357","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
