"Gene","ctl1","ctl2","ctl3","ctl4","ctl5","ctl6","ctl7","dta1","dta2","dta3","dta4","dta5","dta6","dta7","dta8","dta9","dta10","dta11","dta12","dta13","dta14","dta15","dta16","dta17","dta18","dta19","dta20","dta21","dta22","dta23","dta24","dta25","dta26","dta27","dta28","dta29","dta30","dta31","dta32","dta33","dta34","dta35","dta36","dta37","dta38","dta39","dta40","dta41","dta42","dta43","dta44","dta45","dta46"
"ENSMUSG00000000001","0","3","0","7","0","2","13","0","3","3","1","0","4","1","0","6","0","2","1","0","1","2","0","0","2","0","1","0","4","2","11","1","0","2","1","3","3","4","4","0","1","1","1","2","7","1","1","15","0","1","0","0","0"
"ENSMUSG00000000003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000028","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","1","1","0","0","0","0","0"
"ENSMUSG00000000037","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000049","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000056","2","11","2","85","1","5","27","11","21","7","14","0","6","4","1","25","6","8","12","2","2","2","2","0","3","7","4","1","20","14","34","1","1","16","12","35","19","31","29","2","5","1","6","10","40","5","25","25","5","0","3","3","1"
"ENSMUSG00000000058","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000078","0","1","0","1","0","0","4","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","3","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","13","0","0","0","0","0"
"ENSMUSG00000000085","0","2","0","7","4","4","16","0","3","5","7","1","7","1","0","4","1","6","4","0","0","5","1","1","3","4","1","1","6","8","13","0","0","4","6","1","6","9","6","1","2","4","3","9","7","6","25","25","0","0","2","0","0"
"ENSMUSG00000000088","8","18","2","116","5","0","58","37","85","30","23","2","22","10","4","65","8","26","39","14","3","5","1","1","1","10","9","13","63","59","82","1","2","51","45","86","70","49","89","2","17","4","15","33","119","18","161","127","11","2","0","5","3"
"ENSMUSG00000000093","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000094","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000120","2","5","0","59","1","0","2","12","10","10","4","0","12","0","0","23","0","14","2","2","3","0","2","1","1","2","0","0","15","28","13","2","0","9","11","0","84","94","64","11","46","8","84","60","57","27","32","33","5","0","0","0","1"
"ENSMUSG00000000125","0","6","0","18","4","1","4","2","14","13","11","0","19","4","0","18","1","8","2","5","3","4","0","0","1","4","0","2","5","17","8","0","1","9","4","9","7","44","9","3","9","1","10","14","7","2","22","17","1","3","2","1","2"
"ENSMUSG00000000126","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0"
"ENSMUSG00000000127","0","0","2","5","2","1","11","3","3","2","2","0","2","0","0","2","0","1","0","0","1","0","2","0","2","0","0","1","0","1","4","0","0","1","5","3","3","7","4","1","1","0","0","0","3","6","9","16","0","2","1","0","0"
"ENSMUSG00000000131","0","1","1","14","5","2","18","3","6","3","8","0","1","1","0","4","2","3","1","0","0","3","0","1","2","3","7","2","7","4","8","0","0","4","9","4","13","10","6","1","6","3","7","7","15","7","17","19","1","0","0","0","0"
"ENSMUSG00000000134","0","2","0","5","0","1","7","3","2","3","4","0","0","0","0","3","1","1","4","2","0","1","1","0","0","0","0","0","2","1","4","0","0","1","1","0","3","1","0","2","3","1","1","1","8","1","4","7","0","0","2","0","0"
"ENSMUSG00000000142","0","1","0","1","1","0","13","0","0","1","1","0","0","1","0","0","0","1","0","0","0","1","1","0","0","0","0","1","0","1","1","0","0","1","0","1","1","0","3","1","1","0","1","0","2","0","0","9","0","0","0","0","0"
"ENSMUSG00000000148","1","0","0","7","1","2","9","1","5","3","7","0","1","1","0","0","1","2","0","0","0","0","1","0","0","0","0","0","5","2","3","0","0","4","1","5","7","5","3","3","4","0","4","4","10","2","7","8","0","0","4","0","1"
"ENSMUSG00000000149","0","1","0","6","0","0","21","2","7","3","0","0","1","0","1","8","0","4","2","0","0","1","0","0","0","1","1","2","1","2","6","0","0","4","2","4","5","9","5","0","1","0","5","5","12","2","12","13","0","0","0","0","0"
"ENSMUSG00000000154","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000157","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000159","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000167","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"ENSMUSG00000000168","4","9","0","57","2","1","18","10","28","7","20","0","16","2","0","40","6","16","26","6","5","3","0","1","4","3","2","3","25","17","32","2","2","15","19","34","26","28","45","1","12","1","10","20","46","13","46","57","8","1","2","2","1"
"ENSMUSG00000000171","3","20","4","80","3","0","33","12","54","21","15","3","27","3","3","52","1","23","34","7","8","2","2","0","1","4","6","5","35","21","51","1","0","34","26","43","45","47","42","5","11","5","15","29","54","12","87","64","6","4","3","2","6"
"ENSMUSG00000000182","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000183","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000184","0","0","0","0","0","0","19","0","0","0","0","0","2","1","0","0","1","0","0","1","0","0","0","0","2","2","1","3","1","0","1","0","0","0","0","1","2","0","0","1","1","2","1","0","1","0","0","20","0","0","0","0","0"
"ENSMUSG00000000194","0","4","2","14","1","3","14","6","5","3","6","0","9","3","1","3","0","3","6","1","0","2","1","0","0","4","0","1","2","7","13","0","1","3","2","12","5","7","8","4","1","1","3","5","5","0","9","22","0","1","1","0","0"
"ENSMUSG00000000197","0","1","0","6","1","0","9","1","3","3","7","0","2","2","0","3","1","2","1","3","2","0","2","0","0","0","2","1","3","4","5","2","0","2","10","5","6","9","1","2","3","0","9","1","1","2","9","12","0","0","0","0","2"
"ENSMUSG00000000202","0","0","0","1","0","1","24","3","1","3","0","0","3","2","1","0","1","0","2","0","0","2","0","0","0","1","6","16","0","0","15","0","0","0","3","11","0","0","0","0","0","0","1","0","1","0","0","8","0","0","0","0","0"
"ENSMUSG00000000204","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000214","0","0","0","5","2","0","0","0","0","2","0","0","1","0","0","4","3","3","1","1","0","0","0","0","0","2","0","0","0","4","2","0","0","1","0","0","2","2","2","0","1","0","0","4","1","0","11","0","1","0","0","0","0"
"ENSMUSG00000000215","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000216","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000223","0","0","0","0","0","0","0","2","4","0","0","0","0","1","0","1","0","0","1","0","1","1","0","0","1","0","0","1","3","0","3","0","1","2","0","1","2","5","4","0","6","0","1","3","3","2","3","8","2","0","0","0","0"
"ENSMUSG00000000244","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000247","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000248","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000253","0","5","3","20","2","0","7","2","9","4","6","0","3","4","1","6","1","1","10","1","4","1","0","0","2","3","2","2","6","5","8","0","0","7","4","12","8","7","11","2","2","0","1","5","5","4","12","12","3","4","0","0","0"
"ENSMUSG00000000263","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000266","0","4","1","4","2","0","1","0","3","0","1","0","3","1","0","0","1","0","1","1","0","0","0","0","0","0","0","0","1","0","5","0","0","1","3","2","2","2","3","0","0","0","1","0","1","1","2","4","0","1","0","0","1"
"ENSMUSG00000000275","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"ENSMUSG00000000276","0","4","0","19","2","3","22","5","13","11","8","0","7","4","2","19","2","9","13","2","3","8","1","0","6","6","3","1","5","13","21","0","0","12","3","20","11","6","16","4","4","0","5","18","12","8","26","44","1","1","1","2","2"
"ENSMUSG00000000278","0","0","0","0","0","0","6","0","0","2","2","0","0","0","0","3","0","0","1","1","0","1","0","0","0","0","1","1","1","3","2","0","0","0","0","3","0","1","2","0","1","0","0","0","0","1","4","5","0","1","0","0","0"
"ENSMUSG00000000282","1","0","0","6","2","0","7","1","1","3","1","0","0","1","1","0","0","1","1","0","1","0","0","0","0","0","1","1","2","0","1","0","0","1","0","4","2","1","0","0","1","0","1","1","1","0","5","5","0","0","0","0","0"
"ENSMUSG00000000290","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000295","0","1","1","0","0","0","2","1","2","1","0","0","2","0","0","3","0","1","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","2","0","1","4","0","0","0","1","1","1","0","1","5","0","1","0","0","0"
"ENSMUSG00000000296","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","3","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"ENSMUSG00000000301","0","0","0","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","1","1","0","0","0","0","2","0","1","1","1","1","0","0","0","0","0"
"ENSMUSG00000000303","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000305","0","0","0","0","0","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0"
"ENSMUSG00000000308","13","33","11","126","5","2","93","41","71","35","56","4","38","12","8","68","9","34","64","13","8","4","6","0","4","15","15","6","59","55","101","5","8","31","49","90","45","101","91","4","10","6","11","54","94","45","146","135","16","1","5","2","12"
"ENSMUSG00000000317","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000318","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000320","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"ENSMUSG00000000326","2","18","0","22","1","1","28","2","18","7","12","1","13","4","2","19","1","5","11","4","6","6","2","1","2","6","4","1","15","17","22","0","0","17","7","15","25","23","19","6","9","4","13","26","26","13","32","39","2","1","1","0","2"
"ENSMUSG00000000339","4","3","1","16","3","0","15","4","22","2","8","0","15","2","2","24","2","8","10","6","2","2","1","1","2","2","3","2","15","9","20","0","0","13","8","16","19","20","14","7","5","1","8","20","29","3","42","34","2","0","2","0","2"
"ENSMUSG00000000340","1","1","0","7","1","1","3","5","3","1","1","0","3","0","0","3","0","1","6","1","1","0","0","0","0","0","1","2","3","1","6","0","0","1","3","1","7","2","1","0","3","0","2","4","6","4","7","12","1","1","0","1","2"
"ENSMUSG00000000346","1","0","0","4","0","0","6","2","1","2","0","0","0","1","0","1","0","1","1","0","0","0","1","1","0","0","1","0","0","1","6","0","0","0","0","2","1","1","3","0","0","0","2","0","1","1","2","6","0","0","0","0","0"
"ENSMUSG00000000355","2","1","0","25","2","0","10","2","4","4","5","0","6","1","0","3","0","2","4","1","2","2","2","0","2","1","2","2","4","5","11","0","0","3","4","14","10","9","11","1","6","0","8","9","6","3","14","21","0","0","1","1","0"
"ENSMUSG00000000359","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"ENSMUSG00000000365","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","5","0","0","0","0","2","4","5","0","0","2","0","0","0","0","0"
"ENSMUSG00000000374","0","4","0","19","0","1","16","4","10","5","9","0","4","0","0","7","3","2","7","1","2","3","1","1","3","1","2","1","8","5","9","1","0","6","11","9","14","15","14","6","3","3","3","7","17","4","20","30","1","0","3","0","1"
"ENSMUSG00000000378","1","3","0","13","0","0","11","1","13","3","3","0","4","1","0","8","0","0","4","0","0","1","0","1","0","1","0","1","12","5","6","0","0","3","5","5","1","3","8","0","0","0","3","1","15","1","20","12","1","1","2","0","0"
"ENSMUSG00000000381","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000384","0","3","0","10","3","1","17","3","7","2","6","0","6","2","0","6","0","5","4","1","1","1","1","1","1","0","4","1","7","3","12","0","0","4","4","5","11","6","9","3","3","0","4","5","10","3","13","25","0","1","1","0","0"
"ENSMUSG00000000385","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000392","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"ENSMUSG00000000394","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"ENSMUSG00000000399","2","10","2","34","1","0","21","10","17","8","12","4","18","4","1","18","1","11","14","3","1","1","2","1","2","2","3","2","15","26","22","0","0","12","13","16","18","17","17","1","5","2","2","13","28","7","41","40","1","1","1","1","3"
"ENSMUSG00000000402","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000409","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000411","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000416","1","8","0","142","28","36","23","16","41","29","47","1","35","4","3","43","6","50","39","7","26","21","2","1","18","36","2","0","47","61","67","0","1","62","19","54","34","56","57","15","17","3","21","51","75","37","89","107","3","1","40","5","2"
"ENSMUSG00000000420","1","12","0","31","2","3","14","6","11","14","16","0","13","7","1","24","2","11","16","12","2","4","0","0","4","4","1","6","6","19","24","2","0","17","11","7","9","17","21","3","7","1","13","19","8","15","35","19","3","2","5","1","3"
"ENSMUSG00000000435","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000439","0","1","0","7","0","0","7","3","7","0","4","0","2","2","0","7","1","0","1","0","1","1","1","0","1","2","0","0","2","1","4","1","0","3","4","8","1","6","3","0","2","0","2","3","4","0","5","12","3","0","1","1","0"
"ENSMUSG00000000440","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000441","1","0","0","32","8","6","45","8","18","12","12","0","12","4","2","17","0","4","18","2","4","6","1","1","3","6","5","3","11","17","23","0","4","7","11","19","13","17","23","3","9","0","6","13","34","12","27","53","3","1","5","0","1"
"ENSMUSG00000000489","0","0","0","1","0","0","1","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","1","0","6","0","4","0","0","2","0","3","1","0","0","0","0"
"ENSMUSG00000000530","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000532","3","3","0","18","0","0","11","1","4","5","4","0","2","0","0","7","2","7","7","1","0","0","0","0","1","5","1","2","5","5","5","0","1","5","2","4","5","2","7","0","10","0","10","6","11","4","4","24","1","0","1","2","1"
"ENSMUSG00000000538","2","4","0","23","1","2","33","1","10","7","6","2","6","1","1","11","0","6","14","1","3","3","0","0","0","2","1","4","6","11","15","1","1","14","8","14","12","11","29","5","3","0","8","8","24","7","28","36","2","0","3","1","2"
"ENSMUSG00000000544","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000552","3","31","6","115","8","7","47","18","81","21","30","5","42","10","5","53","5","32","39","12","8","6","3","1","8","11","2","6","57","38","82","2","3","45","40","70","78","31","127","13","24","3","27","81","127","45","88","93","10","7","5","4","3"
"ENSMUSG00000000555","0","0","0","1","0","0","1","1","0","0","1","0","1","0","0","0","1","2","3","1","1","0","0","0","0","0","0","0","6","0","2","0","0","2","0","1","6","0","6","3","2","0","11","0","30","1","0","1","0","0","0","0","0"
"ENSMUSG00000000560","0","0","0","0","0","0","8","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","2","0","1","4","0","0","0","0","1","1","0","0","0","0","0","1","0","2","0","1","12","0","0","0","0","0"
"ENSMUSG00000000561","0","1","1","12","3","0","25","7","12","3","6","0","10","3","0","7","2","2","11","2","5","1","0","1","2","2","1","2","7","9","14","1","0","9","4","12","20","14","19","4","3","1","5","13","15","7","20","29","3","0","2","0","0"
"ENSMUSG00000000562","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000567","0","2","0","0","0","0","18","2","0","0","0","1","0","0","1","1","0","0","3","0","1","0","0","0","0","1","0","0","0","2","9","0","0","1","0","0","1","27","1","0","1","0","0","1","1","0","0","6","0","0","0","0","0"
"ENSMUSG00000000568","0","6","1","17","2","3","35","8","10","8","9","3","9","3","2","4","0","4","4","1","0","1","1","4","1","2","6","4","4","8","14","1","1","5","8","19","9","11","19","2","7","2","7","8","16","8","17","30","0","1","3","1","1"
"ENSMUSG00000000581","0","2","0","8","0","0","9","2","7","2","10","0","6","1","0","8","1","1","5","2","1","0","0","0","0","2","5","0","3","3","9","0","1","3","5","6","22","13","15","0","2","2","4","7","12","4","15","15","2","0","0","0","2"
"ENSMUSG00000000594","1","13","4","34","1","0","36","8","35","20","14","1","11","2","3","25","1","26","13","9","3","5","5","4","1","8","5","3","21","35","36","1","1","15","12","20","44","31","42","5","17","6","30","25","34","30","60","42","4","3","4","1","7"
"ENSMUSG00000000600","0","0","0","3","2","0","6","1","5","1","0","0","1","0","0","0","0","0","2","0","1","2","0","0","0","0","1","0","1","4","5","0","0","1","4","0","2","4","1","1","0","0","2","4","3","1","4","8","0","1","1","0","0"
"ENSMUSG00000000605","2","15","2","47","3","1","38","8","31","10","20","1","12","5","6","15","0","13","22","5","3","3","3","3","1","3","10","5","13","19","42","1","2","25","18","19","22","31","29","3","9","2","25","25","22","7","41","63","0","1","4","3","4"
"ENSMUSG00000000606","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000617","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000627","2","3","0","14","3","2","25","3","5","4","4","0","1","4","0","7","0","4","8","0","1","6","1","1","5","0","5","2","1","10","11","0","1","3","10","2","3","4","8","0","1","0","6","3","6","2","4","26","0","2","1","1","1"
"ENSMUSG00000000628","0","1","0","1","0","0","6","3","0","0","1","0","1","0","0","0","1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"ENSMUSG00000000631","2","4","2","25","3","7","30","10","21","11","19","0","13","3","2","10","1","22","17","3","5","6","3","1","2","3","2","2","13","11","27","2","0","14","17","20","26","53","34","4","16","3","18","23","25","11","47","35","2","1","2","1","1"
"ENSMUSG00000000632","1","1","1","6","5","0","83","1","2","15","6","0","2","6","0","0","0","0","2","4","7","6","1","0","2","0","14","12","0","11","24","1","2","0","1","4","26","24","2","3","29","5","33","9","10","2","2","191","0","0","1","0","6"
"ENSMUSG00000000673","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000682","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000686","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000690","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000693","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000701","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000706","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000000708","0","1","0","2","0","0","6","4","5","6","0","0","4","2","1","4","0","0","5","0","1","2","0","0","0","0","2","1","3","0","2","0","1","1","2","6","1","7","2","2","0","0","0","4","8","2","5","5","1","0","3","1","0"
"ENSMUSG00000000711","1","8","1","22","2","1","18","3","14","5","8","0","13","0","0","15","0","6","3","2","2","0","1","0","0","3","1","1","9","8","24","0","1","4","8","14","20","13","11","2","4","0","4","10","18","7","19","17","2","0","1","0","0"
