FeatureID,FeatureName,dtcl calca8 Average,dtcl calca8 Log2 Fold Change,dtcl calca8 P-Value,dtdt caca Average,dtdt caca Log2 Fold Change,dtdt caca P-Value
ENSMUSG00000041607,Mbp,26.205125477282436,4.683797300989687,0.00017195303639437005,0.942953383698643,-4.683797300989687,0.00017195303639437005
ENSMUSG00000032517,Mobp,7.786187442131842,4.5760336192752105,1.7475672620461022e-05,0.2937067916438396,-4.5760336192752105,1.7475672620461022e-05
ENSMUSG00000026830,Ermn,1.0046693473718507,4.458850079904871,0.00800489658478799,0.03091650438356207,-4.458850079904871,0.00800489658478799
ENSMUSG00000036560,Lgi4,1.0046693473718507,4.458850079904871,0.004782211200512653,0.03091650438356207,-4.458850079904871,0.004782211200512653
ENSMUSG00000033579,Fa2h,2.093061140358022,4.45885007990487,0.004315483346813093,0.07729126095890516,-4.45885007990487,0.004315483346813093
ENSMUSG00000036905,C1qb,1.1721142386004924,4.250263458093453,1.7475672620461022e-05,0.0463747565753431,-4.250263458093453,1.7475672620461022e-05
ENSMUSG00000035486,Plk5,1.0046693473718507,4.043812580626027,0.0009083742616680524,0.0463747565753431,-4.043812580626027,0.0009083742616680524
ENSMUSG00000015090,Ptgds,2.0093386947437013,3.8173040508173472,0.001980221363705607,0.12366601753424827,-3.8173040508173472,0.001980221363705607
ENSMUSG00000030701,Plekhb1,1.6744489122864177,3.7356902852636957,1.7475672620461022e-05,0.10820776534246723,-3.7356902852636957,1.7475672620461022e-05
ENSMUSG00000027375,Mal,1.1721142386004924,3.665300957372297,0.02898121670704316,0.07729126095890516,-3.665300957372297,0.02898121670704316
ENSMUSG00000031425,Plp1,34.82853737555749,3.555423339599924,0.03002617045818828,2.767027142328805,-3.555423339599924,0.03002617045818828
ENSMUSG00000022150,Dab2,1.2558366842148132,3.5360179404273313,0.001830719359847789,0.0927495131506862,-3.5360179404273313,0.001830719359847789
ENSMUSG00000051111,Sv2c,3.851232498258761,3.5056442913838124,5.692862076759913e-05,0.30916504383562066,-3.5056442913838124,5.692862076759913e-05
ENSMUSG00000041423,Paqr6,1.507004021057776,3.421375374486208,0.011728555663149974,0.12366601753424827,-3.421375374486208,0.011728555663149974
ENSMUSG00000013523,Bcas1,1.8418938035150596,3.407503199904651,0.0012791886406253385,0.15458252191781033,-3.407503199904651,0.0012791886406253385
