"symbol","ensembl_ID","User_ID","baseMean","CTL.DTA_log2FC","CTL.DTA_adjPval","Processed.data.","search_label","ctl1","ctl2","ctl3","ctl4","ctl5","ctl6","ctl7","dta1","dta2","dta3","dta4","dta5","dta6","dta7","dta8","dta9","dta10","dta11","dta12","dta13","dta14","dta15","dta16","dta17","dta18","dta19","dta20","dta21","dta22","dta23","dta24","dta25","dta26","dta27","dta28","dta29","dta30","dta31","dta32","dta33","dta34","dta35","dta36","dta37","dta38","dta39","dta40","dta41","dta42","dta43","dta44","dta45","dta46","ctl1_iDEP","ctl2_iDEP","ctl3_iDEP","ctl4_iDEP","ctl5_iDEP","ctl6_iDEP","ctl7_iDEP","dta1_iDEP","dta2_iDEP","dta3_iDEP","dta4_iDEP","dta5_iDEP","dta6_iDEP","dta7_iDEP","dta8_iDEP","dta9_iDEP","dta10_iDEP","dta11_iDEP","dta12_iDEP","dta13_iDEP","dta14_iDEP","dta15_iDEP","dta16_iDEP","dta17_iDEP","dta18_iDEP","dta19_iDEP","dta20_iDEP","dta21_iDEP","dta22_iDEP","dta23_iDEP","dta24_iDEP","dta25_iDEP","dta26_iDEP","dta27_iDEP","dta28_iDEP","dta29_iDEP","dta30_iDEP","dta31_iDEP","dta32_iDEP","dta33_iDEP","dta34_iDEP","dta35_iDEP","dta36_iDEP","dta37_iDEP","dta38_iDEP","dta39_iDEP","dta40_iDEP","dta41_iDEP","dta42_iDEP","dta43_iDEP","dta44_iDEP","dta45_iDEP","dta46_iDEP","DTA.CTL_log2FC"
"Ttc4","ENSMUSG00000025413","ENSMUSG00000025413",7.260204318,1.810986837,0.023926255,NA,"Ttc4 | ENSMUSG00000025413",0,2,0,31,12,18,23,10,18,9,7,0,15,3,0,17,0,8,18,1,7,1,1,0,7,6,3,1,10,20,23,1,0,11,10,16,8,13,22,12,8,0,8,13,18,15,22,39,1,3,5,1,3,0,2,0,31,12,18,23,10,18,9,7,0,15,3,0,17,0,8,18,1,7,1,1,0,7,6,3,1,10,20,23,1,0,11,10,16,8,13,22,12,8,0,8,13,18,15,22,39,1,3,5,1,3,-1.810986837
"Ptk2","ENSMUSG00000022607","ENSMUSG00000022607",5.83876217,1.700513818,0.02571379,NA,"Ptk2 | ENSMUSG00000022607",1,8,0,20,8,13,16,6,7,7,8,1,4,3,1,7,2,5,9,4,4,3,0,1,5,11,2,1,9,16,14,0,0,10,4,7,15,8,15,3,2,2,6,17,12,7,17,25,2,0,7,2,1,1,8,0,20,8,13,16,6,7,7,8,1,4,3,1,7,2,5,9,4,4,3,0,1,5,11,2,1,9,16,14,0,0,10,4,7,15,8,15,3,2,2,6,17,12,7,17,25,2,0,7,2,1,-1.700513818
"Eef1a2","ENSMUSG00000016349","ENSMUSG00000016349",78.87794107,-0.592755595,0.033415894,NA,"Eef1a2 | ENSMUSG00000016349",27,112,13,558,9,2,437,125,287,126,247,12,196,61,23,273,22,164,220,55,36,29,11,19,18,40,72,25,246,211,437,18,17,188,213,309,270,323,394,30,68,27,137,288,471,129,574,484,54,28,25,26,40,27,112,13,558,9,2,437,125,287,126,247,12,196,61,23,273,22,164,220,55,36,29,11,19,18,40,72,25,246,211,437,18,17,188,213,309,270,323,394,30,68,27,137,288,471,129,574,484,54,28,25,26,40,0.592755595
"Atp2a3","ENSMUSG00000020788","ENSMUSG00000020788",49.56812173,1.012475832,0.033415894,NA,"Atp2a3 | ENSMUSG00000020788",22,136,27,471,26,35,53,39,164,97,142,8,81,34,24,147,12,101,121,42,18,15,17,14,22,31,2,0,125,154,259,4,10,134,100,129,52,138,158,41,24,6,38,148,174,84,183,152,15,23,41,18,43,22,136,27,471,26,35,53,39,164,97,142,8,81,34,24,147,12,101,121,42,18,15,17,14,22,31,2,0,125,154,259,4,10,134,100,129,52,138,158,41,24,6,38,148,174,84,183,152,15,23,41,18,43,-1.012475832
"Ncl","ENSMUSG00000026234","ENSMUSG00000026234",8.053196908,-1.164764555,0.033415894,NA,"Ncl | ENSMUSG00000026234",0,4,1,36,2,1,38,15,32,14,30,1,15,7,3,34,1,9,25,7,5,3,1,1,5,6,9,4,25,14,31,1,2,21,13,24,39,24,42,8,9,5,26,19,39,17,62,47,7,1,2,1,1,0,4,1,36,2,1,38,15,32,14,30,1,15,7,3,34,1,9,25,7,5,3,1,1,5,6,9,4,25,14,31,1,2,21,13,24,39,24,42,8,9,5,26,19,39,17,62,47,7,1,2,1,1,1.164764555
"Pfn2","ENSMUSG00000027805","ENSMUSG00000027805",15.66604114,-0.998554232,0.033415894,NA,"Pfn2 | ENSMUSG00000027805",3,15,1,97,1,0,94,29,62,24,39,2,39,13,4,58,9,33,41,6,10,7,2,2,4,12,11,7,54,49,101,2,6,33,28,58,61,84,89,5,28,9,30,54,108,21,136,146,11,2,4,1,4,3,15,1,97,1,0,94,29,62,24,39,2,39,13,4,58,9,33,41,6,10,7,2,2,4,12,11,7,54,49,101,2,6,33,28,58,61,84,89,5,28,9,30,54,108,21,136,146,11,2,4,1,4,0.998554232
"Dgkz","ENSMUSG00000040479","ENSMUSG00000040479",111.6787558,1.422167836,0.033415894,NA,"Dgkz | ENSMUSG00000040479",17,94,18,600,146,165,248,122,305,179,248,8,139,41,23,271,36,173,196,30,67,64,13,8,87,116,27,18,241,210,385,10,10,208,192,307,218,109,433,148,71,27,74,285,509,191,676,445,41,13,169,11,22,17,94,18,600,146,165,248,122,305,179,248,8,139,41,23,271,36,173,196,30,67,64,13,8,87,116,27,18,241,210,385,10,10,208,192,307,218,109,433,148,71,27,74,285,509,191,676,445,41,13,169,11,22,-1.422167836
"Zfand4","ENSMUSG00000042213","ENSMUSG00000042213",6.337993366,2.683370959,0.033415894,NA,"Zfand4 | ENSMUSG00000042213",0,0,0,28,39,5,6,3,8,4,4,0,6,0,0,9,1,5,4,0,5,3,0,0,4,7,0,0,10,13,10,0,0,9,5,7,5,8,18,15,12,0,5,16,7,7,21,18,0,0,14,0,0,0,0,0,28,39,5,6,3,8,4,4,0,6,0,0,9,1,5,4,0,5,3,0,0,4,7,0,0,10,13,10,0,0,9,5,7,5,8,18,15,12,0,5,16,7,7,21,18,0,0,14,0,0,-2.683370959
"Crebzf","ENSMUSG00000051451","ENSMUSG00000051451",8.815658152,1.899811657,0.033415894,NA,"Crebzf | ENSMUSG00000051451",1,2,3,29,11,21,70,5,7,14,11,0,11,4,1,10,4,7,7,1,6,5,2,0,3,4,5,3,9,12,26,1,0,4,7,16,18,19,24,8,6,1,9,12,13,3,34,90,2,1,15,4,1,1,2,3,29,11,21,70,5,7,14,11,0,11,4,1,10,4,7,7,1,6,5,2,0,3,4,5,3,9,12,26,1,0,4,7,16,18,19,24,8,6,1,9,12,13,3,34,90,2,1,15,4,1,-1.899811657
"Unc80","ENSMUSG00000055567","ENSMUSG00000055567",6.258492278,1.653974605,0.033415894,NA,"Unc80 | ENSMUSG00000055567",1,4,4,30,14,7,28,4,10,6,7,0,14,1,0,10,2,9,13,0,2,6,0,0,6,10,3,2,12,11,23,0,0,13,5,10,15,13,17,6,4,3,5,17,17,5,23,23,0,0,8,4,0,1,4,4,30,14,7,28,4,10,6,7,0,14,1,0,10,2,9,13,0,2,6,0,0,6,10,3,2,12,11,23,0,0,13,5,10,15,13,17,6,4,3,5,17,17,5,23,23,0,0,8,4,0,-1.653974605
