"symbol","ensembl_ID","User_ID","baseMean","CTL.DTA_log2FC","CTL.DTA_adjPval","Processed.data.","search_label","ctl1","ctl2","ctl3","ctl4","ctl5","ctl6","ctl7","dta1","dta2","dta3","dta4","dta5","dta6","dta7","dta8","dta9","dta10","dta11","dta12","dta13","dta14","dta15","dta16","dta17","dta18","dta19","dta20","dta21","dta22","dta23","dta24","dta25","dta26","dta27","dta28","dta29","dta30","dta31","dta32","dta33","dta34","dta35","dta36","dta37","dta38","dta39","dta40","dta41","dta42","dta43","dta44","dta45","dta46","ctl1_iDEP","ctl2_iDEP","ctl3_iDEP","ctl4_iDEP","ctl5_iDEP","ctl6_iDEP","ctl7_iDEP","dta1_iDEP","dta2_iDEP","dta3_iDEP","dta4_iDEP","dta5_iDEP","dta6_iDEP","dta7_iDEP","dta8_iDEP","dta9_iDEP","dta10_iDEP","dta11_iDEP","dta12_iDEP","dta13_iDEP","dta14_iDEP","dta15_iDEP","dta16_iDEP","dta17_iDEP","dta18_iDEP","dta19_iDEP","dta20_iDEP","dta21_iDEP","dta22_iDEP","dta23_iDEP","dta24_iDEP","dta25_iDEP","dta26_iDEP","dta27_iDEP","dta28_iDEP","dta29_iDEP","dta30_iDEP","dta31_iDEP","dta32_iDEP","dta33_iDEP","dta34_iDEP","dta35_iDEP","dta36_iDEP","dta37_iDEP","dta38_iDEP","dta39_iDEP","dta40_iDEP","dta41_iDEP","dta42_iDEP","dta43_iDEP","dta44_iDEP","dta45_iDEP","dta46_iDEP","DTA.CTL_log2FC"
"Calm3","ENSMUSG00000019370","ENSMUSG00000019370",44.45119232,-0.611994082,0.07282398,NA,"Calm3 | ENSMUSG00000019370",20,70,6,217,7,2,245,58,183,68,87,13,98,34,14,176,15,66,111,22,17,12,6,10,9,25,38,17,147,137,246,7,8,94,99,143,170,214,272,16,60,14,97,171,293,77,328,425,30,14,9,14,17,20,70,6,217,7,2,245,58,183,68,87,13,98,34,14,176,15,66,111,22,17,12,6,10,9,25,38,17,147,137,246,7,8,94,99,143,170,214,272,16,60,14,97,171,293,77,328,425,30,14,9,14,17,0.611994082
"Ap2m1","ENSMUSG00000022841","ENSMUSG00000022841",12.58443216,-0.771905096,0.07282398,NA,"Ap2m1 | ENSMUSG00000022841",0,13,3,67,3,2,70,16,57,21,24,4,26,6,5,58,6,22,31,6,5,8,4,1,2,5,15,5,39,45,61,3,2,29,43,40,53,56,55,7,15,4,20,39,70,16,91,102,6,3,8,0,1,0,13,3,67,3,2,70,16,57,21,24,4,26,6,5,58,6,22,31,6,5,8,4,1,2,5,15,5,39,45,61,3,2,29,43,40,53,56,55,7,15,4,20,39,70,16,91,102,6,3,8,0,1,0.771905096
"Ptms","ENSMUSG00000030122","ENSMUSG00000030122",57.18364632,-1.107140457,0.07282398,NA,"Ptms | ENSMUSG00000030122",17,59,7,275,1,5,582,59,107,100,54,2,123,34,12,148,18,78,86,33,36,34,5,10,13,34,60,35,243,181,263,17,10,95,87,139,228,488,221,20,130,33,217,215,252,40,670,718,33,3,5,11,18,17,59,7,275,1,5,582,59,107,100,54,2,123,34,12,148,18,78,86,33,36,34,5,10,13,34,60,35,243,181,263,17,10,95,87,139,228,488,221,20,130,33,217,215,252,40,670,718,33,3,5,11,18,1.107140457
"Tpm1","ENSMUSG00000032366","ENSMUSG00000032366",11.32923463,-1.111951934,0.07282398,NA,"Tpm1 | ENSMUSG00000032366",1,9,2,56,1,1,59,20,31,15,18,3,20,6,4,39,3,25,32,5,2,6,2,1,3,4,7,7,28,21,72,6,3,39,45,34,40,24,71,5,25,7,53,39,80,22,95,83,5,1,1,0,3,1,9,2,56,1,1,59,20,31,15,18,3,20,6,4,39,3,25,32,5,2,6,2,1,3,4,7,7,28,21,72,6,3,39,45,34,40,24,71,5,25,7,53,39,80,22,95,83,5,1,1,0,3,1.111951934
"Sncb","ENSMUSG00000034891","ENSMUSG00000034891",31.18356062,-0.895325874,0.07282398,NA,"Sncb | ENSMUSG00000034891",9,32,6,167,4,1,190,60,150,54,68,4,124,12,8,108,6,35,83,29,14,9,6,6,8,14,26,15,101,63,166,6,3,50,84,87,171,89,208,7,60,21,95,103,186,58,228,322,29,4,5,6,7,9,32,6,167,4,1,190,60,150,54,68,4,124,12,8,108,6,35,83,29,14,9,6,6,8,14,26,15,101,63,166,6,3,50,84,87,171,89,208,7,60,21,95,103,186,58,228,322,29,4,5,6,7,0.895325874
"Neto2","ENSMUSG00000036902","ENSMUSG00000036902",6.379210866,-1.438618971,0.07282398,NA,"Neto2 | ENSMUSG00000036902",0,6,1,21,1,0,24,11,20,16,26,0,18,7,1,40,0,3,8,7,5,8,1,2,2,4,6,1,3,21,37,0,2,13,13,14,42,23,19,4,16,3,14,20,35,23,28,58,0,2,4,2,1,0,6,1,21,1,0,24,11,20,16,26,0,18,7,1,40,0,3,8,7,5,8,1,2,2,4,6,1,3,21,37,0,2,13,13,14,42,23,19,4,16,3,14,20,35,23,28,58,0,2,4,2,1,1.438618971
"Atp6v1g1","ENSMUSG00000039105","ENSMUSG00000039105",7.289035962,-1.099190178,0.07282398,NA,"Atp6v1g1 | ENSMUSG00000039105",0,9,0,34,0,1,49,12,14,13,16,1,23,4,4,30,4,12,23,6,4,5,2,0,1,6,5,8,20,18,31,0,1,11,9,27,21,45,32,3,10,1,14,22,32,16,62,62,10,2,2,2,2,0,9,0,34,0,1,49,12,14,13,16,1,23,4,4,30,4,12,23,6,4,5,2,0,1,6,5,8,20,18,31,0,1,11,9,27,21,45,32,3,10,1,14,22,32,16,62,62,10,2,2,2,2,1.099190178
"Tubb2b","ENSMUSG00000045136","ENSMUSG00000045136",13.32609021,-2.324256122,0.07282398,NA,"Tubb2b | ENSMUSG00000045136",2,9,1,16,0,0,162,15,25,19,7,2,26,5,4,28,8,2,5,3,14,5,1,1,3,13,15,28,7,32,71,1,5,10,4,9,50,10,22,1,57,14,54,43,66,21,26,339,1,0,0,2,3,2,9,1,16,0,0,162,15,25,19,7,2,26,5,4,28,8,2,5,3,14,5,1,1,3,13,15,28,7,32,71,1,5,10,4,9,50,10,22,1,57,14,54,43,66,21,26,339,1,0,0,2,3,2.324256122
"Cltb","ENSMUSG00000047547","ENSMUSG00000047547",19.11145384,-0.971007837,0.07282398,NA,"Cltb | ENSMUSG00000047547",4,17,0,85,6,3,185,24,75,44,38,3,61,5,3,75,6,32,38,12,12,10,4,1,2,13,20,9,46,60,88,6,3,22,48,53,80,129,102,5,30,9,31,66,115,31,202,172,9,3,5,3,7,4,17,0,85,6,3,185,24,75,44,38,3,61,5,3,75,6,32,38,12,12,10,4,1,2,13,20,9,46,60,88,6,3,22,48,53,80,129,102,5,30,9,31,66,115,31,202,172,9,3,5,3,7,0.971007837
"Marcksl1","ENSMUSG00000047945","ENSMUSG00000047945",8.88477568,-2.511073183,0.07282398,NA,"Marcksl1 | ENSMUSG00000047945",0,5,1,15,0,0,142,3,8,17,3,2,11,9,3,9,4,5,3,4,4,5,2,0,4,1,14,18,28,3,47,1,0,11,11,8,44,7,10,4,36,7,48,11,58,14,18,180,1,0,0,1,4,0,5,1,15,0,0,142,3,8,17,3,2,11,9,3,9,4,5,3,4,4,5,2,0,4,1,14,18,28,3,47,1,0,11,11,8,44,7,10,4,36,7,48,11,58,14,18,180,1,0,0,1,4,2.511073183
"Mllt11","ENSMUSG00000053192","ENSMUSG00000053192",16.51398876,-1.027537072,0.07282398,NA,"Mllt11 | ENSMUSG00000053192",2,12,3,115,2,0,105,34,71,33,34,0,58,9,2,70,10,31,47,10,3,12,1,3,4,6,13,11,63,46,83,5,1,26,34,50,77,98,108,8,31,8,29,83,125,25,154,166,6,4,1,1,3,2,12,3,115,2,0,105,34,71,33,34,0,58,9,2,70,10,31,47,10,3,12,1,3,4,6,13,11,63,46,83,5,1,26,34,50,77,98,108,8,31,8,29,83,125,25,154,166,6,4,1,1,3,1.027537072
"Marcks","ENSMUSG00000069662","ENSMUSG00000069662",16.97156172,-2.792029049,0.07282398,NA,"Marcks | ENSMUSG00000069662",1,3,1,28,0,1,375,11,6,37,5,1,23,20,5,25,1,2,8,6,16,15,2,1,5,13,44,50,6,29,78,2,4,8,5,19,9,109,11,2,9,17,13,3,21,1,38,363,3,0,0,2,13,1,3,1,28,0,1,375,11,6,37,5,1,23,20,5,25,1,2,8,6,16,15,2,1,5,13,44,50,6,29,78,2,4,8,5,19,9,109,11,2,9,17,13,3,21,1,38,363,3,0,0,2,13,2.792029049
"Chchd2","ENSMUSG00000070493","ENSMUSG00000070493",21.16702355,-0.871004693,0.07282398,NA,"Chchd2 | ENSMUSG00000070493",2,30,2,153,2,0,80,46,108,42,57,6,70,12,7,135,4,43,73,14,10,5,7,5,10,14,20,10,98,71,107,3,4,64,64,107,94,92,92,4,18,6,26,59,127,39,188,129,12,1,3,2,5,2,30,2,153,2,0,80,46,108,42,57,6,70,12,7,135,4,43,73,14,10,5,7,5,10,14,20,10,98,71,107,3,4,64,64,107,94,92,92,4,18,6,26,59,127,39,188,129,12,1,3,2,5,0.871004693
"Tubb4a","ENSMUSG00000062591","ENSMUSG00000062591",26.10637518,-1.134248286,0.08179584,NA,"Tubb4a | ENSMUSG00000062591",5,42,1,138,1,0,270,31,61,35,78,4,48,10,12,96,12,32,64,10,9,26,3,5,8,11,55,25,71,69,175,4,9,50,47,57,69,73,93,4,33,12,51,95,112,40,142,211,20,6,3,2,7,5,42,1,138,1,0,270,31,61,35,78,4,48,10,12,96,12,32,64,10,9,26,3,5,8,11,55,25,71,69,175,4,9,50,47,57,69,73,93,4,33,12,51,95,112,40,142,211,20,6,3,2,7,1.134248286
"Ywhae","ENSMUSG00000020849","ENSMUSG00000020849",21.31036848,-0.653115834,0.086028328,NA,"Ywhae | ENSMUSG00000020849",4,27,1,118,7,3,113,44,76,31,62,2,48,17,9,81,5,37,52,4,6,7,7,7,8,15,16,20,69,46,127,3,2,34,57,75,88,92,89,7,34,6,46,72,107,32,150,192,10,4,4,6,11,4,27,1,118,7,3,113,44,76,31,62,2,48,17,9,81,5,37,52,4,6,7,7,7,8,15,16,20,69,46,127,3,2,34,57,75,88,92,89,7,34,6,46,72,107,32,150,192,10,4,4,6,11,0.653115834
"Stmn2","ENSMUSG00000027500","ENSMUSG00000027500",37.94868007,-0.791356711,0.086028328,NA,"Stmn2 | ENSMUSG00000027500",11,54,5,213,6,0,272,65,113,75,91,10,85,34,12,127,13,52,59,20,26,22,10,4,13,24,48,30,87,151,192,9,9,83,50,114,124,147,159,10,48,11,57,90,229,51,332,431,23,7,3,6,10,11,54,5,213,6,0,272,65,113,75,91,10,85,34,12,127,13,52,59,20,26,22,10,4,13,24,48,30,87,151,192,9,9,83,50,114,124,147,159,10,48,11,57,90,229,51,332,431,23,7,3,6,10,0.791356711
"Nectin1","ENSMUSG00000032012","ENSMUSG00000032012",9.965184082,-0.963888579,0.086028328,NA,"Nectin1 | ENSMUSG00000032012",2,17,1,32,1,1,32,16,30,32,17,1,20,13,4,24,5,27,31,9,7,3,3,1,5,11,3,2,19,28,44,2,2,25,14,23,45,47,52,5,16,1,34,45,40,22,47,133,2,5,3,3,1,2,17,1,32,1,1,32,16,30,32,17,1,20,13,4,24,5,27,31,9,7,3,3,1,5,11,3,2,19,28,44,2,2,25,14,23,45,47,52,5,16,1,34,45,40,22,47,133,2,5,3,3,1,0.963888579
"Lsm14b","ENSMUSG00000039108","ENSMUSG00000039108",6.575133369,-1.021273866,0.086028328,NA,"Lsm14b | ENSMUSG00000039108",1,2,0,27,4,1,48,12,16,13,12,0,11,6,1,14,3,12,18,4,3,4,2,2,3,2,5,6,26,17,35,1,2,17,8,16,20,20,27,2,9,1,17,19,30,11,37,51,2,1,2,3,5,1,2,0,27,4,1,48,12,16,13,12,0,11,6,1,14,3,12,18,4,3,4,2,2,3,2,5,6,26,17,35,1,2,17,8,16,20,20,27,2,9,1,17,19,30,11,37,51,2,1,2,3,5,1.021273866
"Hmox2","ENSMUSG00000004070","ENSMUSG00000004070",8.818369624,-0.807746627,0.090156865,NA,"Hmox2 | ENSMUSG00000004070",3,5,1,43,1,3,24,21,33,6,27,3,27,6,4,37,5,17,13,5,4,2,1,0,3,5,9,5,29,33,43,2,2,22,27,27,26,38,51,2,10,3,16,24,36,18,55,45,12,0,0,2,4,3,5,1,43,1,3,24,21,33,6,27,3,27,6,4,37,5,17,13,5,4,2,1,0,3,5,9,5,29,33,43,2,2,22,27,27,26,38,51,2,10,3,16,24,36,18,55,45,12,0,0,2,4,0.807746627
"Islr2","ENSMUSG00000051243","ENSMUSG00000051243",13.58406982,-1.946910594,0.093374987,NA,"Islr2 | ENSMUSG00000051243",2,16,0,33,0,0,18,23,32,1,13,2,40,11,2,38,2,17,5,5,7,8,1,7,2,0,7,3,12,11,39,0,1,2,20,24,110,37,101,19,96,16,75,67,75,88,21,109,6,8,1,3,2,2,16,0,33,0,0,18,23,32,1,13,2,40,11,2,38,2,17,5,5,7,8,1,7,2,0,7,3,12,11,39,0,1,2,20,24,110,37,101,19,96,16,75,67,75,88,21,109,6,8,1,3,2,1.946910594
"Basp1","ENSMUSG00000045763","ENSMUSG00000045763",16.81428039,-1.512183137,0.095971148,NA,"Basp1 | ENSMUSG00000045763",3,15,3,27,3,0,193,15,53,26,22,1,46,6,1,46,1,18,19,5,17,8,0,1,2,5,9,9,45,62,63,3,2,17,19,22,96,72,87,9,60,23,74,73,95,54,203,365,10,3,0,0,3,3,15,3,27,3,0,193,15,53,26,22,1,46,6,1,46,1,18,19,5,17,8,0,1,2,5,9,9,45,62,63,3,2,17,19,22,96,72,87,9,60,23,74,73,95,54,203,365,10,3,0,0,3,1.512183137
"Ppp2ca","ENSMUSG00000020349","ENSMUSG00000020349",17.67011012,-0.535765997,0.099289996,NA,"Ppp2ca | ENSMUSG00000020349",3,20,5,109,3,3,85,28,75,26,46,5,63,9,3,88,5,37,51,11,8,5,2,4,4,12,16,5,45,47,95,3,4,41,29,57,65,67,76,9,26,7,40,61,76,32,92,140,11,7,4,4,12,3,20,5,109,3,3,85,28,75,26,46,5,63,9,3,88,5,37,51,11,8,5,2,4,4,12,16,5,45,47,95,3,4,41,29,57,65,67,76,9,26,7,40,61,76,32,92,140,11,7,4,4,12,0.535765997
