Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSMUSG00000051951,Xkr4,0.19949189142295676,1.3939630524982825,0.000003481248665183304,0.07588022958138922,-1.3939630524982825,0.000003481248665183304
ENSMUSG00000025900,Rp1,0.00004149165794986621,-4.808882548775758,0.0000000000000000012340911388798909,0.0013220764438756488,4.808882548775758,0.0000000000000000012340911388798909
ENSMUSG00000025902,Sox17,0.005214118349033187,-5.11923057198975,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012440532904782493,0.18143759617925023,5.11923057198975,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012440532904782493
ENSMUSG00000025903,Lypla1,0.042134778648089136,-0.1392044184692125,0.687405383976693,0.046377049991743156,0.1392044184692125,0.687405383976693
ENSMUSG00000033813,Tcea1,0.09068693372575759,0.03918713111729488,0.996796055031159,0.08823120688601699,-0.03918713111729488,0.9967960550311444
ENSMUSG00000002459,Rgs20,0.019514909789087074,-1.8621752753802774,0.0000000000000014537213624078305,0.07093983865953811,1.8621752753802774,0.0000000000000014537213624078305
ENSMUSG00000033793,Atp6v1h,0.28977082384554065,0.3389973672356066,0.30633699740454245,0.22906713964413875,-0.3389973672356066,0.30633699740454245
ENSMUSG00000025905,Oprk1,0.0015628524494449606,1.1737851404324413,0.015725314567134826,0.0006610382219378244,-1.1737851404324413,0.015725314567134826
ENSMUSG00000033774,Npbwr1,0.0003665096452238182,-2.099509705864657,0.00000012790334949981736,0.0015656168414316894,2.099509705864657,0.00000012790334949981736
ENSMUSG00000025907,Rb1cc1,0.19550869225976958,0.7343484879881923,0.015854539291337146,0.11749084607810702,-0.7343484879881923,0.015854539291337146
ENSMUSG00000087247,Alkal1,0.000020745828974933107,-1.3308352519711129,0.6263494770939078,0.00003479148536514866,1.3308352519711129,0.6263494770939078
ENSMUSG00000033740,St18,0.2131841385464126,1.192609717113553,0.00006752470596459658,0.0932411807785984,-1.192609717113553,0.00006752470596461183
ENSMUSG00000051285,Pcmtd1,0.12196472854363173,-0.06717907239762733,0.8689301377540056,0.12775433426082586,0.06717907239762733,0.8689301377540056
ENSMUSG00000025909,Sntg1,0.005221033625358165,0.6768183205723224,0.06465594070776633,0.003235608138958825,-0.6768183205723224,0.06465594070776633
