PC,Proportion.Variance.Explained
1,0.008956357723221176
2,0.004994885106987906
3,0.0038714017130852202
4,0.0036928371385817043
5,0.0034114883935290443
6,0.0030469742929157173
7,0.0029522703077682873
8,0.00246426429189351
9,0.0020214592489736353
10,0.001822439533642148
