Feature
1,ENSMUSG00000040086
2,ENSMUSG00000044748
3,ENSMUSG00000110008
4,ENSMUSG00000079627
5,ENSMUSG00000069292
6,ENSMUSG00000060024
7,ENSMUSG00000018916
8,ENSMUSG00000031430
9,ENSMUSG00000038891
10,ENSMUSG00000004842
11,ENSMUSG00000006777
12,ENSMUSG00000054757
13,ENSMUSG00000037393
14,ENSMUSG00000070816
15,ENSMUSG00000044375
16,ENSMUSG00000058935
17,ENSMUSG00000091972
18,ENSMUSG00000040650
19,ENSMUSG00000020159
20,ENSMUSG00000052187
21,ENSMUSG00000092618
22,ENSMUSG00000048562
23,ENSMUSG00000046354
24,ENSMUSG00000042554
25,ENSMUSG00000046643
26,ENSMUSG00000022542
27,ENSMUSG00000022056
28,ENSMUSG00000100296
29,ENSMUSG00000027482
30,ENSMUSG00000035916
31,ENSMUSG00000039224
32,ENSMUSG00000044265
33,ENSMUSG00000028314
34,ENSMUSG00000091248
35,ENSMUSG00000025431
36,ENSMUSG00000096316
37,ENSMUSG00000057903
38,ENSMUSG00000017000
39,ENSMUSG00000073925
40,ENSMUSG00000004038
41,ENSMUSG00000042717
42,ENSMUSG00000049133
43,ENSMUSG00000021538
44,ENSMUSG00000053961
45,ENSMUSG00000000544
46,ENSMUSG00000051900
47,ENSMUSG00000022755
48,ENSMUSG00000011349
49,ENSMUSG00000021335
50,ENSMUSG00000042801
51,ENSMUSG00000075065
52,ENSMUSG00000035528
53,ENSMUSG00000001496
54,ENSMUSG00000005677
55,ENSMUSG00000085683
56,ENSMUSG00000078355
57,ENSMUSG00000031727
58,ENSMUSG00000032852
59,ENSMUSG00000073964
60,ENSMUSG00000006056
61,ENSMUSG00000076461
62,ENSMUSG00000023333
63,ENSMUSG00000066108
64,ENSMUSG00000030196
65,ENSMUSG00000066952
66,ENSMUSG00000024105
67,ENSMUSG00000026432
68,ENSMUSG00000059043
69,ENSMUSG00000056921
70,ENSMUSG00000070313
71,ENSMUSG00000079012
72,ENSMUSG00000073977
