Feature,Normalized.Dispersion
ENSMUSG00000051951,2.1916196682774807
ENSMUSG00000025900,-0.7836370382997794
ENSMUSG00000025902,12.33847059018662
ENSMUSG00000025903,-1.500681820563282
ENSMUSG00000033813,-1.76354088732762
ENSMUSG00000002459,0.13308777195887164
ENSMUSG00000033793,-1
ENSMUSG00000025905,0.4612221704340297
ENSMUSG00000033774,-3.2503316339271677
ENSMUSG00000025907,-1.1964582553907182
ENSMUSG00000087247,1.4019911968091714
ENSMUSG00000033740,1.3189600601168032
ENSMUSG00000051285,-1.6595753153568815
ENSMUSG00000025909,-1.403060799062963
ENSMUSG00000061024,10.639593042566519
ENSMUSG00000025911,-0.7414466705790668
ENSMUSG00000067879,13.437561492885042
ENSMUSG00000025912,1.871853848048346
ENSMUSG00000045210,-1.4268357086086665
ENSMUSG00000025915,-0.8933742771399746
ENSMUSG00000046101,0.1753055645550707
ENSMUSG00000099032,-1.8323341256110242
ENSMUSG00000025916,0.5337165856389382
ENSMUSG00000025917,-0.6913641153937661
ENSMUSG00000056763,0.06910976399634147
ENSMUSG00000067851,-0.5962019469491742
ENSMUSG00000042501,-0.3337049612057436
ENSMUSG00000048960,11.810049785026056
ENSMUSG00000016918,0.2888419067575874
ENSMUSG00000025938,1.0795751346287885
ENSMUSG00000042414,1.6874398464577698
ENSMUSG00000005886,-0.6431767883289009
ENSMUSG00000025935,-0.8333315939453662
ENSMUSG00000025937,-0.29621092270799015
ENSMUSG00000067813,0.761559552727535
ENSMUSG00000025932,2.4821028157339984
ENSMUSG00000025930,-0.2371460973066637
ENSMUSG00000032769,0.5593132661870726
ENSMUSG00000092083,1.9469714973894034
ENSMUSG00000025925,2.4211706346181345
ENSMUSG00000032719,0.13509722877369418
ENSMUSG00000025921,0.6465714428594205
ENSMUSG00000025920,0.471848134924571
ENSMUSG00000025939,-0.9143239889654667
ENSMUSG00000079658,-2.100918440285238
ENSMUSG00000025940,-0.7263231933770812
ENSMUSG00000025779,-1.3980359770317845
ENSMUSG00000042686,1.079460178934458
ENSMUSG00000025777,-1.2697060844320855
ENSMUSG00000067780,-0.16191290967678226
ENSMUSG00000025776,2.7255692216444203
ENSMUSG00000025774,1.1614462763401068
ENSMUSG00000073735,NaN
ENSMUSG00000067773,-2.9575635031212255
ENSMUSG00000042596,5.171193011431597
ENSMUSG00000025927,5.367601543400475
ENSMUSG00000043760,-5.419766552056421
ENSMUSG00000025929,-0.39278509838185527
ENSMUSG00000041872,0.7811019320496029
ENSMUSG00000041859,0.054628432187678995
ENSMUSG00000025931,14.936846278799965
ENSMUSG00000041809,-0.25098775904206844
ENSMUSG00000041779,-1.325359105110213
ENSMUSG00000025933,-0.9212934403732785
ENSMUSG00000025934,-0.32719868327828233
ENSMUSG00000067750,NaN
ENSMUSG00000041722,NaN
ENSMUSG00000085079,NaN
ENSMUSG00000028033,3.847395004239195
ENSMUSG00000041670,-0.02690640421932055
ENSMUSG00000026158,-0.5145090585725903
ENSMUSG00000026155,-1.3284117757806777
ENSMUSG00000026154,-1.2491134686746819
ENSMUSG00000026153,-0.01838827241989261
ENSMUSG00000026147,2.4394432210962393
ENSMUSG00000026141,4.872117606126203
ENSMUSG00000073725,-0.799385427461768
ENSMUSG00000033569,-1.3869447015032288
ENSMUSG00000048874,-1.0206661330854019
ENSMUSG00000050217,-2.6369937881720524
ENSMUSG00000026063,NaN
ENSMUSG00000026058,3.3497158452410556
ENSMUSG00000026134,0.9747264532918152
ENSMUSG00000004768,-0.8114803997119625
ENSMUSG00000042215,-1.2362076577277599
ENSMUSG00000042197,-0.3574667418297439
ENSMUSG00000042182,-0.5151761482895566
ENSMUSG00000026131,-1.4478089810464787
ENSMUSG00000042111,0.6154440491783398
ENSMUSG00000026127,0.4952364455377328
ENSMUSG00000026126,2.5541420178356775
ENSMUSG00000026125,0.45871432551985264
ENSMUSG00000026124,0.1411923248721443
ENSMUSG00000037529,-0.13212389094583843
