"cluster","celltype","score"
0,"Granule",0.853788196231154
1,"Granule",0.587040813024445
3,"Interneurons",3.54069412574983
4,"Interneurons",4.43017217132375
5,"Astrocytes",2.36101898458601
6,"Bergmann_glia",6.23183495752696
7,"OPC",5.80696322048435
8,"Purkinje",5.88903864355093
9,"Oligodendrocytes",6.0825821474613
10,"Endothelial",7.69343901127199
11,"Microglia",9.7031352640403
12,"Fibroblasts",7.98951059011358
14,"Purkinje",1.36451259928307
