Feature,Normalized.Dispersion
ENSMUSG00000051951,-0.03148183492900928
ENSMUSG00000025900,2.364881188060824
ENSMUSG00000025902,24.465548397385746
ENSMUSG00000025903,0.19356305642901014
ENSMUSG00000033813,-1.0055794240141345
ENSMUSG00000002459,3.62391946135397
ENSMUSG00000033793,-1.4096176377829532
ENSMUSG00000025905,0.4366811950669955
ENSMUSG00000033774,-0.26033113723736423
ENSMUSG00000025907,-1.1137679065744068
ENSMUSG00000087247,-1.2282321601141821
ENSMUSG00000033740,3.9482260427081837
ENSMUSG00000051285,-0.22668623567503007
ENSMUSG00000025909,0.001536539994925942
ENSMUSG00000061024,4.3444944086318635
ENSMUSG00000025911,0.7863217306789195
ENSMUSG00000067879,20.086476772916384
ENSMUSG00000025912,1.880965527962571
ENSMUSG00000045210,-1.6889053076752318
ENSMUSG00000025915,1.1895441619159137
ENSMUSG00000046101,-0.7530751414411218
ENSMUSG00000099032,-0.029307178580617783
ENSMUSG00000025916,-0.8039114893134744
ENSMUSG00000025917,-1.0036804045353254
ENSMUSG00000056763,1.135419245288428
ENSMUSG00000067851,-0.8563278360970435
ENSMUSG00000042501,0.08044908794102003
ENSMUSG00000048960,5.792236112012109
ENSMUSG00000016918,3.5433935931782514
ENSMUSG00000025938,-0.9947680646521275
ENSMUSG00000042414,1.0695916902141445
ENSMUSG00000005886,-0.5808984434558396
ENSMUSG00000025935,0.8990503397073017
ENSMUSG00000025937,0.7770817987783664
ENSMUSG00000067813,2.294756449980748
ENSMUSG00000025932,5.040303003920196
ENSMUSG00000025930,-0.8657455000187892
ENSMUSG00000032769,0.06311132621619374
ENSMUSG00000092083,-1.5640289821654492
ENSMUSG00000025925,0.6154579135420498
ENSMUSG00000032719,1.0963444997589704
ENSMUSG00000025921,2.123696032091813
ENSMUSG00000025920,0.11825990447738359
ENSMUSG00000025939,-0.9326333037318257
ENSMUSG00000079658,-1.324597325666264
ENSMUSG00000025940,-0.9825356962544999
ENSMUSG00000025779,-0.288136933899495
ENSMUSG00000042686,0.03207673126274103
ENSMUSG00000025777,-2.5334930185043545
ENSMUSG00000067780,7.679171795489242
ENSMUSG00000025776,1.3531967041152246
ENSMUSG00000025774,-8.195870785091653
ENSMUSG00000073735,NaN
ENSMUSG00000067773,6.003216662516926
