PC,Proportion.Variance.Explained
1,0.026545743548077132
2,0.014253442244437383
3,0.01327122808754132
4,0.01017026920291344
5,0.007453596508253543
6,0.0057809591132614475
7,0.004804595354520374
8,0.0044110316017071695
9,0.0031572625695609788
10,0.002916788590463657
